date,x,y,vx,vy
09-04-2023,-1.419906592005015E+08,-4.769610004962234E+07,8.991873112022589E+00,-2.834442547080101E+01
10-04-2023,-1.411929463109696E+08,-5.013801603107395E+07,9.473274313613985E+00,-2.818010862464439E+01
11-04-2023,-1.403537519730348E+08,-5.256539734500949E+07,9.952085110245962E+00,-2.800796184439622E+01
12-04-2023,-1.394733022239838E+08,-5.497756374681555E+07,1.042824805272843E+01,-2.782789459037393E+01
13-04-2023,-1.385518297143067E+08,-5.737382626862788E+07,1.090166623170733E+01,-2.763979714263172E+01
14-04-2023,-1.375895774146039E+08,-5.975348602694341E+07,1.137219678279727E+01,-2.744355173504442E+01
15-04-2023,-1.365868027742546E+08,-6.211583408991670E+07,1.183964703624950E+01,-2.723904596082324E+01
16-04-2023,-1.355437820622848E+08,-6.446015260107794E+07,1.230377440445887E+01,-2.702618840302877E+01
17-04-2023,-1.344608144922494E+08,-6.678571732207118E+07,1.276429182381428E+01,-2.680492557249388E+01
18-04-2023,-1.333382255744174E+08,-6.909180160773550E+07,1.322088036980995E+01,-2.657525753552196E+01
19-04-2023,-1.321763690653436E+08,-7.137768152908686E+07,1.367320884078573E+01,-2.633724811721530E+01
20-04-2023,-1.309756270289113E+08,-7.364264149664220E+07,1.412095710266155E+01,-2.609102578014974E+01
21-04-2023,-1.297364079160635E+08,-7.588597949718423E+07,1.456383758680639E+01,-2.583677390542876E+01
22-04-2023,-1.284591430724964E+08,-7.810701111434247E+07,1.500160943489175E+01,-2.557471309832621E+01
23-04-2023,-1.271442824518613E+08,-8.030507186636388E+07,1.543408262644399E+01,-2.530508092481702E+01
24-04-2023,-1.257922903761164E+08,-8.247951788506263E+07,1.586111322503423E+01,-2.502811454862280E+01
25-04-2023,-1.244036419617718E+08,-8.462972534695828E+07,1.628259342914407E+01,-2.474403950464052E+01
26-04-2023,-1.229788204801631E+08,-8.675508922376035E+07,1.669844051665550E+01,-2.445306504169153E+01
27-04-2023,-1.215183156085929E+08,-8.885502186432517E+07,1.710858763995544E+01,-2.415538453742129E+01
