date,x,y,vx,vy
30-10-2022,-8.214094992961204E+07,-7.031682008843908E+07,2.252679235374903E+01,-2.676869883821999E+01
31-10-2022,-8.016277038892074E+07,-7.260183910624343E+07,2.326134711877639E+01,-2.612187403767355E+01
01-11-2022,-7.812192471651165E+07,-7.483010252503061E+07,2.397730626347705E+01,-2.545500120838055E+01
02-11-2022,-7.602004292997819E+07,-7.699990156980786E+07,2.467413180083049E+01,-2.476862380183671E+01
03-11-2022,-7.385880083427568E+07,-7.910957502716953E+07,2.535130188219919E+01,-2.406329924676285E+01
04-11-2022,-7.163991861282752E+07,-8.115751043146420E+07,2.600831113116734E+01,-2.333959845115088E+01
05-11-2022,-6.936515939048229E+07,-8.314214520766830E+07,2.664467096129922E+01,-2.259810529815433E+01
06-11-2022,-6.703632776971178E+07,-8.506196777045706E+07,2.725990987778111E+01,-2.183941613630519E+01
07-11-2022,-6.465526834144448E+07,-8.691551857900682E+07,2.785357376300889E+01,-2.106413926471259E+01
08-11-2022,-6.222386417190799E+07,-8.870139114711973E+07,2.842522614622480E+01,-2.027289441368157E+01
09-11-2022,-5.974403526687581E+07,-9.041823300829352E+07,2.897444845706098E+01,-1.946631222127751E+01
10-11-2022,-5.721773701468727E+07,-9.206474663541111E+07,2.950084026331747E+01,-1.864503370636148E+01
11-11-2022,-5.464695860940742E+07,-9.363969031476414E+07,3.000401949293125E+01,-1.780970973856306E+01
12-11-2022,-5.203372145548684E+07,-9.514187897416748E+07,3.048362264027366E+01,-1.696100050565818E+01
13-11-2022,-4.938007755526915E+07,-9.657018496495908E+07,3.093930495692209E+01,-1.609957497880960E+01
14-11-2022,-4.668810788068101E+07,-9.792353879772054E+07,3.137074062706010E+01,-1.522611037611714E+01
15-11-2022,-4.395992073042575E+07,-9.920092983159111E+07,3.177762292766841E+01,-1.434129162491449E+01
16-11-2022,-4.119765007398754E+07,-1.004014069170857E+08,3.215966437367826E+01,-1.344581082323939E+01
17-11-2022,-3.840345388373727E+07,-1.015240789923625E+08,3.251659684826635E+01,-1.254036670089337E+01
18-11-2022,-3.557951245641636E+07,-1.025681156329242E+08,3.284817171847946E+01,-1.162566408049733E+01
19-11-2022,-3.272802672525711E+07,-1.035327475547673E+08,3.315415993638508E+01,-1.070241333893873E+01
20-11-2022,-2.985121656398166E+07,-1.044172670710321E+08,3.343435212595290E+01,-9.771329869595849E+00
21-11-2022,-2.695131908390321E+07,-1.052210285022359E+08,3.368855865588036E+01,-8.833133545714471E+00
22-11-2022,-2.403058692533888E+07,-1.059434485402022E+08,3.391660969842357E+01,-7.888548185218468E+00
23-11-2022,-2.109128654453164E+07,-1.065840065658253E+08,3.411835527467457E+01,-6.938301017368759E+00
24-11-2022,-1.813569649724094E+07,-1.071422449208432E+08,3.429366528629834E+01,-5.983122151480429E+00
25-11-2022,-1.516610572017040E+07,-1.076177691338079E+08,3.444242953398621E+01,-5.023744048034653E+00
26-11-2022,-1.218481181136343E+07,-1.080102481004719E+08,3.456455772290069E+01,-4.060900992415746E+00
27-11-2022,-9.194119310684655E+06,-1.083194142188281E+08,3.465997945528481E+01,-3.095328571532362E+00
28-11-2022,-6.196337981485792E+06,-1.085450634790630E+08,3.472864421047313E+01,-2.127763153552797E+00
29-11-2022,-3.193781094534432E+06,-1.086870555087011E+08,3.477052131253885E+01,-1.158941370974330E+00
30-11-2022,-1.887637152638366E+05,-1.087453135732388E+08,3.478559988580896E+01,-1.895996072366296E-01
01-12-2022,2.816399004617917E+06,-1.087198245325810E+08,3.477388879847626E+01,7.795265129206977E-01
02-12-2022,5.819393530140808E+06,-1.086106387536146E+08,3.473541659453462E+01,1.747702629166331E+00
03-12-2022,8.817909639708566E+06,-1.084178699792637E+08,3.467023141426094E+01,2.714196147171058E+00
04-12-2022,1.180964211437720E+07,-1.081416951543925E+08,3.457840090346472E+01,3.678276735917025E+00
05-12-2022,1.479229241881528E+07,-1.077823542089306E+08,3.446001211172327E+01,4.639216820562199E+00
06-12-2022,1.776357037300375E+07,-1.073401497986123E+08,3.431517137981813E+01,5.596292070709803E+00
07-12-2022,2.072119581375131E+07,-1.068154470037340E+08,3.414400421658519E+01,6.548781883942479E+00
08-12-2022,2.366290024511831E+07,-1.062086729863422E+08,3.394665516533324E+01,7.495969864481006E+00
09-12-2022,2.658642847685806E+07,-1.055203166062824E+08,3.372328766011570E+01,8.437144296849930E+00
10-12-2022,2.948954025000609E+07,-1.047509279965402E+08,3.347408387195884E+01,9.371598614450008E+00
11-12-2022,3.237001184875799E+07,-1.039011180983256E+08,3.319924454528401E+01,1.029863186288056E+01
12-12-2022,3.522563769779623E+07,-1.029715581563533E+08,3.289898882468231E+01,1.121754915796705E+01
13-12-2022,3.805423194424002E+07,-1.019629791747836E+08,3.257355407222056E+01,1.212766213836628E+01
14-12-2022,4.085363002340730E+07,-1.008761713342950E+08,3.222319567544444E+01,1.302828941266409E+01
15-12-2022,4.362169020759220E+07,-9.971198337076840E+07,3.184818684623896E+01,1.391875700088395E+01
16-12-2022,4.635629513707456E+07,-9.847132191606992E+07,3.144881841069974E+01,1.479839877032835E+01
17-12-2022,4.905535333259132E+07,-9.715515080142385E+07,3.102539859016229E+01,1.566655686567773E+01
18-12-2022,5.171680068851201E+07,-9.576449032387601E+07,3.057825277352927E+01,1.652258213327542E+01
19-12-2022,5.433860194597203E+07,-9.430041647635245E+07,3.010772328102745E+01,1.736583453952959E+01
20-12-2022,5.691875214522894E+07,-9.276406014182499E+07,2.961416911951887E+01,1.819568358336662E+01
21-12-2022,5.945527805651686E+07,-9.115660625209963E+07,2.909796572948126E+01,1.901150870267308E+01
22-12-2022,6.194623958868395E+07,-8.947929291175064E+07,2.855950472376427E+01,1.981269967466618E+01
23-12-2022,6.438973117490678E+07,-8.773341048772669E+07,2.799919361821820E+01,2.059865701013561E+01
24-12-2022,6.678388313478274E+07,-8.592030066516310E+07,2.741745555428178E+01,2.136879234145079E+01
25-12-2022,6.912686301211067E+07,-8.404135546993941E+07,2.681472901361046E+01,2.212252880432824E+01
26-12-2022,7.141687688767113E+07,-8.209801625852881E+07,2.619146752479308E+01,2.285930141320816E+01
27-12-2022,7.365217066633178E+07,-8.009177267568934E+07,2.554813936226857E+01,2.357855743021689E+01
28-12-2022,7.583103133780020E+07,-7.802416158056252E+07,2.488522723743547E+01,2.427975672752910E+01
29-12-2022,7.795178821035625E+07,-7.589676594174969E+07,2.420322798207471E+01,2.496237214308823E+01
30-12-2022,8.001281411690183E+07,-7.371121370194679E+07,2.350265222413731E+01,2.562588982952517E+01
31-12-2022,8.201252659267183E+07,-7.146917661273164E+07,2.278402405598045E+01,2.626980959613005E+01
01-01-2023,8.394938902395818E+07,-6.917236904010971E+07,2.204788069515896E+01,2.689364524374674E+01
02-01-2023,8.582191176720895E+07,-6.682254674143511E+07,2.129477213789296E+01,2.749692489247464E+01
03-01-2023,8.762865323787537E+07,-6.442150561433234E+07,2.052526080533713E+01,2.807919130207696E+01
04-01-2023,8.936822096838968E+07,-6.197108041825308E+07,1.973992118277281E+01,2.864000218501013E+01
05-01-2023,9.103927263466761E+07,-5.947314346930861E+07,1.893933945182987E+01,2.917893051200331E+01
06-01-2023,9.264051705053668E+07,-5.692960330902405E+07,1.812411311582270E+01,2.969556481013291E+01
07-01-2023,9.417071512949817E+07,-5.434240334766460E+07,1.729485061825229E+01,3.018950945335117E+01
08-01-2023,9.562868081323297E+07,-5.171352048278725E+07,1.645217095448484E+01,3.066038494544375E+01
09-01-2023,9.701328196626213E+07,-4.904496369367801E+07,1.559670327663212E+01,3.110782819520002E+01
