43	[375, 33, 209, 961, 385, 1, 210, 80, 988, 280, 985, 624, 710, 828, 510, 736, 86, 469, 600, 359, 448, 22, 795, 501]
44	[859, 915, 124, 327, 407, 409, 658, 531, 498, 366, 912, 702, 172, 418, 711, 984, 15, 95, 414]
45	[423, 191, 28, 241, 154, 187, 537, 643, 195, 231, 214, 23, 270, 836, 354, 128, 869, 123, 569, 896, 568, 145, 183, 457, 813, 881, 826]
46	[336, 24, 75, 197, 335, 395, 850, 778, 192, 133, 653, 285, 847, 7, 16]
47	[668, 148, 322, 815, 60, 125, 218, 879, 160, 513, 697, 37, 138, 884, 757, 464]
48	[604, 32, 340, 456, 555, 521, 546, 614, 929, 913, 77, 437, 123, 724, 881, 432, 229, 23, 514]
49	[616, 38, 423, 963, 479, 732, 289, 269, 580, 34, 344, 895, 644, 767, 891, 113, 141, 307, 586, 290, 699, 199, 406, 225, 579, 682, 849, 234, 250]
50	[467, 76, 312, 828, 710, 394, 539, 683, 210, 628, 375, 624, 33, 188, 516, 1, 601, 31]
51	[12, 36, 69, 721, 309, 72, 258, 687, 722, 109, 144, 317, 363, 541, 186, 762, 320, 441, 953, 779, 78, 572]
52	[95, 407, 172, 523, 984, 498, 71, 264, 367, 987, 495, 822, 54]
53	[136, 982, 715, 3, 181, 305, 329, 921, 965, 96, 425, 83, 563, 29, 819, 378, 93, 89]
54	[52, 657, 71, 6, 701, 300, 743, 232, 987, 403, 914, 874, 901, 167]
55	[160, 318, 513, 392, 204, 568, 73, 159, 262, 284, 803, 298, 398, 42, 178, 214, 449, 585, 791]
56	[302, 470, 656, 788, 427, 808, 829, 823, 943, 27, 968, 217, 352, 410, 567, 941, 735, 773, 998, 98, 637, 997, 748, 315, 727, 342, 439, 66]
57	[368, 528, 729, 21, 193, 455, 696, 755, 934, 768, 730, 867, 40, 273, 291, 667, 726, 326]
58	[593, 621, 857, 931, 177, 208, 511, 609, 538, 639, 827, 310, 371, 818, 232, 575, 916, 597]
59	[277, 103, 149, 422, 665, 992, 91, 200, 584, 66, 333, 481, 559, 681, 744, 940, 969]
60	[125, 810, 218, 697, 11, 148, 138, 884, 322, 668, 464, 47, 801, 815, 465, 160, 879, 513]
61	[192, 16, 688, 977, 566, 156, 692, 248, 285, 990, 612, 7, 843, 251, 335, 611, 933, 714, 530, 752, 841, 387, 800, 756, 223, 672]
62	[376, 203, 492, 759, 25, 853, 717, 401, 892, 221, 267, 348, 694, 451, 592, 898, 228, 477, 716, 674, 175]
63	[94, 403, 818, 858, 171, 701, 590, 914, 655, 272, 115, 167, 226, 310]
64	[558, 288, 719, 112, 184, 301, 390, 30, 458, 793, 660, 814]
65	[18, 342, 323, 9, 99, 116, 361, 374, 426, 436, 505, 994, 577, 547, 741]
66	[427, 174, 149, 315, 352, 439, 637, 59, 663, 735, 823, 333, 748, 997, 866, 968, 56, 808, 941]
67	[359, 86, 991, 501, 157, 216, 295, 673, 297, 561, 897, 888, 911, 382, 770, 925, 435, 519, 173, 533]
68	[168, 950, 886, 431, 84, 278, 583, 731, 854, 986, 695, 552, 79, 642, 19, 747, 975, 540, 107, 383, 482, 602, 830, 802]
